model_name,audio_file,reference,hypothesis,locality,wer,cer,locality_correct,fuzzy_locality_match,partial_locality_match,latency_ms,audio_duration_s,rtf,condition,language,style,difficulty,error
assemblyai,kengeri_upanagara_quiet_hindi_15.wav,"Kengeri Upanagara mein ghar hai, main kal aa sakta hoon.","केंगेरी उफान गया में घर है, मैं कल आ सकता हूँ?",Kengeri Upanagara,1.0,1.0,False,False,False,22044.348100025672,6.42,3.4336990810008836,quiet,hindi,normal,hard,
assemblyai,koramangala_quiet_hindi_01.wav,"Haan bhai, main Koramangala mein rehta hoon, kaam paas mein chahiye.","हाँ, भाई, मैं कोर बंगला में रहता हूँ, काम पास में चाहिए।",Koramangala,1.0,1.0,False,False,False,9785.675499995705,5.7,1.716785175437843,quiet,hindi,normal,easy,
assemblyai,kothanur_dinne_noisy_hinglish_14.wav,"Mera area Kothanur Dinne hai, nearby opening ho to batao.","मेरा एरिया कोठनूर्दिने है नियर बाई, ओपनिंग हो तो बताओ।",Kothanur Dinne,1.0,1.0,False,False,False,10294.771899993066,5.82,1.7688611512015575,noisy,hinglish,normal,hard,
assemblyai,marathahalli_noisy_hindi_05.wav,"Haan, Marathahalli se call kar raha hoon, job nearby mile to accha hai.",हाँ माराथली से गोल कर रहा हूँ। जॉब नेयरबायमिले तो अच्छा है।,Marathahalli,1.0,1.0,False,False,False,18187.25340004312,6.36,2.8596310377426284,noisy,hindi,normal,medium,
assemblyai,rajarajeshwarinagar_quiet_hindi_13.wav,"Rajarajeshwarinagar mein rehta hoon, wahan se commute kar lunga.",राजा राजेश्वरी नगर में रहता हूँ। वहाँ से कमजोर कर लूंगा।,Rajarajeshwarinagar,1.0,1.0,False,False,False,17499.69670001883,5.4,3.240684574077561,quiet,hindi,normal,hard,
assemblyai,silk_board_quiet_hinglish_09.wav,"I stay near Silk Board, traffic ke wajah se late ho sakta hoon.","हेलो स्टेन सिल्क, रोड ट्रैफिक की वजह से लेट हो सकता हूँ थोड़ा।",Silk Board,1.0,1.0,False,False,False,10700.854700000491,8.1,1.321093172839567,quiet,hinglish,normal,easy,
assemblyai,thalaghattapura_noisy_hinglish_16.wav,"I am from Thalaghattapura, bus route check karna padega.",आई एम फ्रॉम थाला घट्टा पूरा बस रूट चेक करना पड़ेगा।,Thalaghattapura,1.0,1.0,False,False,False,9558.64509998355,5.58,1.7130188351225002,noisy,hinglish,normal,hard,
assemblyai,thanisandra_phone_hinglish_20.wav,"Thanisandra is my area, phone pe network thoda weak hai.",थानी। संत्रा इज माई एरिया फोन पर नेटवर्क थोड़ा वीक है।,Thanisandra,1.0,1.0,False,False,False,9605.50449998118,5.52,1.740127626808185,phone,hinglish,normal,medium,
assemblyai,whitefield_noisy_hindi_03.wav,"Main Whitefield side rehta hoon, daily travel bahut hota hai.",मैं वाइटफील्ड साइड रहता हूँ। रेली ट्रैवल बहुत होता है।,Whitefield,1.0,1.0,False,False,False,9911.026399990078,5.94,1.6685229629612925,noisy,hindi,normal,easy,
assemblyai,yelahanka_quiet_hinglish_rushed_18.wav,"Yelahanka side stay karta hoon, immediately join kar sakta hoon.","येल्ला हंग का साइड स्टे करता हूं, इमिजेटली ज्वाइन कर सकता हूँ।",Yelahanka,1.0,1.0,False,False,False,9754.825400013942,6.06,1.6097071617184724,quiet,hinglish,rushed,easy,
